Jahr,Monat,Mitarbeiter_ID,Name,Geschlecht,Einstellungsdatum,Austrittsdatum,Position,Education Level,Alter,Geburtsdatum,Gehaltsgruppe,Grundausbildung,Interne Weiterbildungen,Planstelle,Zeit bis zur Rente,Verheiratet,Kinder,Urlaubstage_genommen,Überstunden,Fehlzeiten_Krankheitstage,Abwesenheitsgrund,Jährliche Leistungsbewertung,Standort,Wechselbereitschaft,Fortbildungskosten,Anzahl Untergebene,Job Role Progression,Gehalt,Workplace Flexibility,Team Size,Coaching,Job Level,Arbeitszeitmodell,Zufriedenheit,Status,Tenure,Fluktuation,Fluktuationswahrscheinlichkeit
2024,12,60360,Walter Howard,Männlich,2021-02-07,Kein Austritt,Abteilungsleiter,Doktorrand,37,1987-04-21,E12,Ja,1,Ja,30,Ja,Ja,0,33,14,Krankheit,4,Landeszentrale,0.7,2293,2,4,94106.35165879484,5,10,Nein,3,Teilzeit,5.207014404424047,Aktiv,3,0,3.48173e-07
2024,12,96030,Stephen Martinez,Männlich,2021-02-13,Kein Austritt,Unterabteilungsleiter,Doktorrand,58,1966-03-20,E10,Ja,4,Nein,9,Ja,Ja,0,32,16,Krankheit,3,Büro,0.45,0,3,8,96636.4446597722,6,11,Ja,3,Homeoffice,6.309813708423386,Aktiv,3,0,2.0215557e-12
2024,12,65193,Ruth Brown,Weiblich,2017-07-14,Kein Austritt,Unterabteilungsleiter,Bachelorabschluss,40,1984-11-18,E10,Ja,1,Ja,27,Ja,Ja,1,44,0,Sabbatical,3,Büro,0.79,0,3,10,83614.94032102647,3,24,Ja,2,Vollzeit,7.229097248267564,Aktiv,7,0,4.932698e-13
2024,12,84330,Elizabeth Anderson,Weiblich,2023-03-17,Kein Austritt,Leitung Büro,Bachelorabschluss,43,1981-01-09,E8,Ja,3,Ja,24,Ja,Ja,0,21,11,Krankheit,5,Büro,0.62,0,0,0,91996.0881107012,9,11,Nein,3,Vollzeit,6.627023480294087,Aktiv,1,0,4.82859e-13
2024,12,68944,Michelle Harris,Weiblich,2016-10-04,Kein Austritt,Fachkraft,Masterabschluss,51,1973-02-10,E6,Ja,3,Ja,16,Ja,Ja,0,30,10,Krankheit,4,Büro,0.9,2414,0,4,46996.91492744636,9,12,Ja,3,Vollzeit,5.636601692693922,Aktiv,8,0,1.6029105e-13
2024,12,23253,Edward Tucker,Männlich,2019-08-07,Kein Austritt,Bürokraft,Berufsausbildung,57,1967-02-06,E5,Ja,3,Ja,10,Ja,Ja,2,20,0,Elternzeit,1,Bund,0.87,0,0,3,40575.99424199089,5,5,Nein,3,Teilzeit,5.106931535888021,Aktiv,5,0,1.5203344e-13
2024,12,20971,Cindy Tucker,Weiblich,2022-03-25,Kein Austritt,Leitung Landeszentrale,Bachelorabschluss,37,1987-09-18,E10,Ja,2,Ja,30,Nein,Ja,0,27,19,Krankheit,5,Landeszentrale,0.03,0,1,5,75884.68535413148,6,8,Nein,1,Vollzeit,4.739890520645481,Aktiv,2,0,6.085906e-16
2024,12,23527,Alexandria Cox,Männlich,2021-11-03,Kein Austritt,Leitung Landeszentrale,Bachelorabschluss,48,1976-11-20,E10,Ja,2,Nein,19,Ja,Ja,2,28,0,Elternzeit,4,Büro,0.63,4218,1,1,95811.28309994284,7,25,Nein,1,Vollzeit,7.25751479087039,Aktiv,3,0,1.7790964e-16
2024,12,98829,Tina Jennings,Weiblich,2023-07-11,Kein Austritt,Leitung Landeszentrale,Bachelorabschluss,46,1978-05-06,E10,Ja,0,Ja,21,Ja,Ja,1,24,11,Krankheit,5,Büro,0.41,4550,1,10,86379.85980092423,8,13,Ja,3,Homeoffice,6.613165094606415,Aktiv,1,0,1.06229406e-16
2024,12,88718,Cole Andersen,Weiblich,2011-10-21,Kein Austritt,Fachkraft,Masterabschluss,51,1973-04-16,E6,Ja,4,Ja,16,Nein,Ja,2,20,0,Elternzeit,2,Büro,0.95,4600,0,10,44088.48885118536,5,5,Nein,2,Vollzeit,5.378925662220636,Aktiv,13,0,8.11289e-17
2024,12,48978,Ryan Thomas,Männlich,2019-08-19,Kein Austritt,Bürokraft,Berufsausbildung,39,1985-03-12,E5,Ja,1,Ja,28,Nein,Ja,1,6,0,Erkrankung mit Reha,5,Büro,0.03,0,0,2,61671.49001696532,2,12,Nein,3,Teilzeit,4.174470922044373,Aktiv,5,0,3.71397e-17
2024,12,25012,Rebecca Jackson,Weiblich,2010-01-24,Kein Austritt,Fachkraft,Berufsausbildung,53,1971-11-05,E6,Ja,3,Ja,14,Nein,Ja,1,21,0,Elternzeit,5,Büro,0.92,0,0,Keine Veränderung,62295.719439571185,5,18,Ja,Executivelevel,Teilzeit,5.060694917380883,Aktiv,14,0,2.716162e-17
2024,12,66011,William Hansen,Weiblich,2024-05-12,Kein Austritt,Fachkraft,Bachelorabschluss,39,1985-03-19,E6,Ja,5,Nein,28,Ja,Ja,1,17,10,Krankheit,3,Landeszentrale,0.96,1721,0,3,60848.612273558414,9,16,Nein,2,Homeoffice,5.552786012235754,Aktiv,0,0,1.2735933e-17
2024,12,76832,David Gutierrez,Weiblich,2021-11-22,Kein Austritt,Leitung Büro,Masterabschluss,52,1972-04-05,E8,Ja,0,Nein,15,Ja,Ja,2,21,0,Elternzeit,3,Büro,0.92,4325,0,10,66110.87873275924,4,11,Ja,3,Vollzeit,7.185563526686629,Aktiv,3,0,1.0066769e-17
2024,12,39460,Victoria Carpenter,Männlich,2023-07-16,Kein Austritt,Leitung Büro,Bachelorabschluss,50,1974-04-07,E8,Ja,0,Ja,17,Nein,Ja,2,23,0,Sabbatical,1,Büro,0.04,3035,0,6,79218.89297061306,8,6,Ja,1,Teilzeit,5.957456072316802,Aktiv,1,0,1.142826e-18
2024,12,44090,Brenda Cruz,Weiblich,2023-03-13,Kein Austritt,Bürokraft,Berufsausbildung,26,1998-03-19,E5,Ja,5,Nein,41,Nein,Ja,0,8,0,Elternzeit,4,Bund,0.99,0,0,8,43878.07791416245,6,13,Nein,4,Teilzeit,6.758764404424048,Aktiv,1,0,9.257428e-19
2024,12,51976,Sharon Martinez,Männlich,2011-01-19,Kein Austritt,Abteilungsleiter,Masterabschluss,62,1962-02-16,E12,Ja,3,Ja,5,Ja,Ja,0,36,0,Elternzeit,4,Büro,0.26,0,2,3,61056.01856715497,10,13,Nein,2,Teilzeit,5.128882658748299,Aktiv,13,0,8.2559646e-19
2024,12,40008,Tina Walter,Weiblich,2016-10-17,Kein Austritt,Fachkraft,Bachelorabschluss,46,1978-03-28,E6,Ja,0,Nein,21,Ja,Ja,0,22,0,Sabbatical,3,Büro,0.27,0,0,3,52010.97730749021,3,24,Nein,1,Teilzeit,5.941983733958408,Aktiv,8,0,4.967353e-19
2024,12,12011,Johnny Khan,Weiblich,2010-05-09,Kein Austritt,Bürokraft,Bachelorabschluss,39,1985-05-15,E5,Ja,3,Ja,28,Ja,Ja,2,10,0,Elternzeit,5,Büro,0.15,1122,0,Keine Veränderung,63301.85368605097,1,19,Ja,Executivelevel,Homeoffice,5.577133733958409,Aktiv,14,0,2.9171158e-19
2024,12,53214,John Steele,Weiblich,2020-07-24,Kein Austritt,Leitung Büro,Doktorrand,37,1987-08-21,E8,Ja,1,Ja,30,Nein,Ja,2,25,15,Krankheit,1,Büro,0.84,4241,0,6,117561.94372501232,7,16,Nein,3,Teilzeit,4.897404637882129,Aktiv,4,0,8.441563e-20
2024,12,76616,Yvonne Burns,Weiblich,2010-01-09,Kein Austritt,Bürokraft,Doktorrand,45,1979-08-20,E5,Ja,3,Nein,22,Ja,Ja,0,11,0,keine,2,Büro,0.11,0,0,Keine Veränderung,46741.16452990195,10,6,Nein,Executivelevel,Teilzeit,5.749694917380883,Aktiv,14,0,6.0860996e-20
2024,12,59968,Ashley Barton,Männlich,2010-01-10,Kein Austritt,Bürokraft,Masterabschluss,48,1976-10-02,E5,Ja,5,Nein,19,Nein,Ja,0,11,12,Krankheit,3,Landeszentrale,0.17,0,0,Keine Veränderung,49132.432194256435,5,7,Ja,Executivelevel,Vollzeit,5.135534037694433,Aktiv,14,0,3.4446308e-20
2024,12,79409,Cynthia Le,Weiblich,2024-05-16,Kein Austritt,Abteilungsleiter,Masterabschluss,58,1966-11-26,E12,Ja,4,Nein,9,Nein,Ja,1,30,19,Krankheit,1,Büro,0.9,3425,2,8,118157.1202390002,0,10,Ja,2,Homeoffice,5.609914039630329,Aktiv,0,0,1.3942858e-20
2024,12,53311,Catherine Walls,Weiblich,2023-07-26,Kein Austritt,Abteilungsleiter,Doktorrand,32,1992-06-24,E12,Ja,0,Nein,35,Nein,Ja,0,32,0,Elternzeit,5,Landeszentrale,0.72,169,2,7,77595.51654262232,3,9,Nein,3,Vollzeit,6.239098975517189,Aktiv,1,0,9.9498535e-21
2024,12,84531,Lawrence Adkins,Weiblich,2010-01-26,Kein Austritt,Unterabteilungsleiter,Masterabschluss,53,1971-01-26,E10,Ja,0,Nein,14,Nein,Ja,2,36,12,Krankheit,1,Büro,0.24,4568,3,Keine Veränderung,101809.9272482602,8,24,Nein,Executivelevel,Teilzeit,5.612672578492953,Aktiv,14,0,8.285361e-21
2024,12,61763,Brian Christensen,Männlich,2021-02-16,Kein Austritt,Leitung Landeszentrale,Doktorrand,51,1973-07-22,E10,Ja,3,Nein,16,Ja,Ja,2,29,0,Elternzeit,4,Büro,0.83,0,1,0,93734.45816134811,10,10,Nein,1,Teilzeit,7.386245603264598,Aktiv,3,0,9.857323e-22
2024,12,95426,Karla Ramos,Männlich,2010-01-27,Kein Austritt,Fachkraft,Bachelorabschluss,55,1968-12-03,E6,Ja,2,Nein,12,Ja,Ja,2,18,19,Krankheit,2,Büro,0.42,319,0,Seitlicher Wechsel,65767.22919608656,10,10,Nein,Einstiegslevel,Vollzeit,5.745489022896649,Aktiv,14,0,3.445954e-22
2024,12,96563,Anna Henderson,Weiblich,2010-01-17,Kein Austritt,Bürokraft,Berufsausbildung,48,1976-11-18,E5,Ja,0,Ja,19,Ja,Ja,2,18,7,Krankheit,2,Büro,0.17,1789,0,Keine Veränderung,52312.27705845989,10,22,Ja,Einstiegslevel,Vollzeit,6.350675846346964,Aktiv,14,0,2.582446e-22
2024,12,78419,Leslie Torres,Männlich,2024-05-04,Kein Austritt,Unterabteilungsleiter,Doktorrand,37,1987-08-12,E10,Ja,2,Nein,30,Nein,Ja,0,43,5,Krankheit,2,Büro,0.6,2348,3,7,84608.08670936499,6,24,Ja,3,Teilzeit,7.577157326344,Aktiv,0,0,1.665109e-22
2024,12,40564,Patricia Vincent,Weiblich,2013-06-01,Kein Austritt,Abteilungsleiter,Berufsausbildung,57,1967-01-17,E12,Ja,1,Ja,10,Nein,Ja,1,36,0,keine,2,Landeszentrale,0.61,2507,2,8,65506.50851104777,8,16,Ja,2,Teilzeit,6.287999361241953,Aktiv,11,0,1.5998971e-22
2024,12,19359,Ryan Gonzalez,Männlich,2010-01-31,Kein Austritt,Bürokraft,Doktorrand,39,1985-02-06,E5,Ja,4,Nein,28,Nein,Ja,1,17,0,Elternzeit,3,Büro,0.74,3417,0,Beförderung,61276.46078217517,3,10,Ja,Executivelevel,Homeoffice,5.157133733958409,Aktiv,14,0,1.5495383e-22
2024,12,96453,Brian Ware,Männlich,2022-11-22,Kein Austritt,Leitung Landeszentrale,Berufsausbildung,56,1968-03-02,E10,Ja,2,Ja,11,Nein,Ja,1,29,0,keine,4,Büro,0.94,2449,1,10,77539.0476465751,6,7,Nein,4,Teilzeit,7.752693816699693,Aktiv,2,0,1.4080748e-22
2024,12,55303,Ryan Waters,Männlich,2017-10-02,Kein Austritt,Leitung Landeszentrale,Bachelorabschluss,60,1964-07-08,E10,Ja,5,Ja,7,Ja,Ja,2,28,0,Erkrankung mit Reha,4,Büro,0.28,361,1,9,85545.49328533823,0,9,Ja,4,Homeoffice,6.917058214106099,Aktiv,7,0,9.222094e-23
