Jahr,Monat,Mitarbeiter_ID,Name,Geschlecht,Einstellungsdatum,Austrittsdatum,Position,Education Level,Alter,Geburtsdatum,Gehaltsgruppe,Grundausbildung,Interne Weiterbildungen,Planstelle,Zeit bis zur Rente,Verheiratet,Kinder,Urlaubstage_genommen,Überstunden,Fehlzeiten_Krankheitstage,Abwesenheitsgrund,Jährliche Leistungsbewertung,Standort,Wechselbereitschaft,Fortbildungskosten,Anzahl Untergebene,Job Role Progression,Gehalt,Workplace Flexibility,Team Size,Coaching,Job Level,Arbeitszeitmodell,Zufriedenheit,Status,Tenure,Fluktuation,Fluktuationswahrscheinlichkeit
2024,12,40217,Lisa Hunter,Männlich,2010-01-14,Kein Austritt,Fachkraft,Masterabschluss,40,1984-01-09,E6,Ja,2,Ja,27,Ja,Ja,1,18,12,Krankheit,1,Büro,0.36,399,0,Beförderung,53245.87488215359,8,17,Ja,Seniorlevel,Homeoffice,5.109472578492953,Aktiv,14,0,0.4952485609857256
2024,12,25012,Rebecca Jackson,Weiblich,2010-01-24,Kein Austritt,Fachkraft,Berufsausbildung,53,1971-11-05,E6,Ja,3,Ja,14,Nein,Ja,1,21,0,Elternzeit,5,Büro,0.92,0,0,Keine Veränderung,62295.719439571185,5,18,Ja,Executivelevel,Teilzeit,5.060694917380883,Aktiv,14,0,0.2638310284833683
2024,12,48978,Ryan Thomas,Männlich,2019-08-19,Kein Austritt,Bürokraft,Berufsausbildung,39,1985-03-12,E5,Ja,1,Ja,28,Nein,Ja,1,6,0,Erkrankung mit Reha,5,Büro,0.03,0,0,2,61671.49001696532,2,12,Nein,3,Teilzeit,4.174470922044373,Aktiv,5,0,0.12963223170579477
2024,12,23253,Edward Tucker,Männlich,2019-08-07,Kein Austritt,Bürokraft,Berufsausbildung,57,1967-02-06,E5,Ja,3,Ja,10,Ja,Ja,2,20,0,Elternzeit,1,Bund,0.87,0,0,3,40575.99424199089,5,5,Nein,3,Teilzeit,5.106931535888021,Aktiv,5,0,0.10067100334149011
2024,12,53214,John Steele,Weiblich,2020-07-24,Kein Austritt,Leitung Büro,Doktorrand,37,1987-08-21,E8,Ja,1,Ja,30,Nein,Ja,2,25,15,Krankheit,1,Büro,0.84,4241,0,6,117561.94372501232,7,16,Nein,3,Teilzeit,4.897404637882129,Aktiv,4,0,0.08910082245908986
2024,12,87656,Penny Bowman,Männlich,2010-01-06,Kein Austritt,Fachkraft,Masterabschluss,61,1963-05-06,E6,Ja,4,Ja,6,Nein,Ja,1,18,17,Krankheit,5,Büro,0.08,0,0,Beförderung,63663.09265999487,8,5,Nein,Mittellevel,Vollzeit,5.011195259823737,Aktiv,14,0,0.07647347889355184
2024,12,20971,Cindy Tucker,Weiblich,2022-03-25,Kein Austritt,Leitung Landeszentrale,Bachelorabschluss,37,1987-09-18,E10,Ja,2,Ja,30,Nein,Ja,0,27,19,Krankheit,5,Landeszentrale,0.03,0,1,5,75884.68535413148,6,8,Nein,1,Vollzeit,4.739890520645481,Aktiv,2,0,0.05188788586178439
2024,12,83975,Allison Hill,Weiblich,2010-01-07,Kein Austritt,Fachkraft,Masterabschluss,51,1973-07-06,E6,Ja,0,Nein,16,Ja,Ja,0,22,0,keine,5,Büro,0.02,0,0,Seitlicher Wechsel,55082.463023676915,5,20,Nein,Seniorlevel,Homeoffice,10.0,Aktiv,14,0,0.0021921902468884993
2024,12,88661,Catherine Roberts,Weiblich,2010-08-14,Kein Austritt,Bürokraft,Masterabschluss,43,1981-05-08,E5,Ja,0,Ja,24,Ja,Ja,1,12,0,keine,2,Büro,0.71,4481,0,4,56413.0095779289,0,6,Ja,1,Vollzeit,10.0,Aktiv,14,0,0.0021921902468884993
2024,12,21152,Deborah Mercado,Weiblich,2010-07-10,Kein Austritt,Fachkraft,Berufsausbildung,51,1973-04-02,E6,Ja,4,Nein,16,Nein,Ja,2,20,0,keine,5,Büro,0.29,0,0,10,48645.61624051736,6,16,Nein,2,Teilzeit,8.861986012235754,Aktiv,14,0,0.0021921902468884993
