Jahr,Monat,Mitarbeiter_ID,Name,Geschlecht,Einstellungsdatum,Austrittsdatum,Position,Education Level,Alter,Geburtsdatum,Gehaltsgruppe,Grundausbildung,Interne Weiterbildungen,Planstelle,Zeit bis zur Rente,Verheiratet,Kinder,Urlaubstage_genommen,Überstunden,Fehlzeiten_Krankheitstage,Abwesenheitsgrund,Jährliche Leistungsbewertung,Standort,Wechselbereitschaft,Fortbildungskosten,Anzahl Untergebene,Job Role Progression,Gehalt,Workplace Flexibility,Team Size,Coaching,Job Level,Arbeitszeitmodell,Zufriedenheit,Status,Tenure,Fluktuation,Fluktuationswahrscheinlichkeit
2024,12,53214,John Steele,Weiblich,2020-07-24,Kein Austritt,Leitung Büro,Doktorrand,37,1987-08-21,E8,Ja,1,Ja,30,Nein,Ja,2,25,15,Krankheit,1,Büro,0.84,4241,0,6,117561.94372501232,7,16,Nein,3,Teilzeit,4.897404637882129,Aktiv,4,0,0.04620276
2024,12,87656,Penny Bowman,Männlich,2010-01-06,Kein Austritt,Fachkraft,Masterabschluss,61,1963-05-06,E6,Ja,4,Ja,6,Nein,Ja,1,18,17,Krankheit,5,Büro,0.08,0,0,Beförderung,63663.09265999487,8,5,Nein,Mittellevel,Vollzeit,5.011195259823737,Aktiv,14,0,0.026481744
2024,12,48978,Ryan Thomas,Männlich,2019-08-19,Kein Austritt,Bürokraft,Berufsausbildung,39,1985-03-12,E5,Ja,1,Ja,28,Nein,Ja,1,6,0,Erkrankung mit Reha,5,Büro,0.03,0,0,2,61671.49001696532,2,12,Nein,3,Teilzeit,4.174470922044373,Aktiv,5,0,0.02555231
2024,12,20971,Cindy Tucker,Weiblich,2022-03-25,Kein Austritt,Leitung Landeszentrale,Bachelorabschluss,37,1987-09-18,E10,Ja,2,Ja,30,Nein,Ja,0,27,19,Krankheit,5,Landeszentrale,0.03,0,1,5,75884.68535413148,6,8,Nein,1,Vollzeit,4.739890520645481,Aktiv,2,0,0.016622746
2024,12,64093,Bernard Smith,Männlich,2010-07-11,Kein Austritt,Fachkraft,Doktorrand,53,1971-06-18,E6,Ja,3,Nein,14,Ja,Ja,1,12,15,Krankheit,4,Büro,0.78,4818,0,0,44040.9699532824,8,21,Nein,1,Homeoffice,10.0,Aktiv,14,0,0.0015258382
2024,12,57823,Joshua Perry,Weiblich,2010-01-13,Kein Austritt,Bürokraft,Berufsausbildung,47,1977-03-19,E5,Ja,1,Nein,20,Ja,Ja,0,19,0,keine,1,Bund,0.1,0,0,Keine Veränderung,42955.82547506774,6,13,Nein,Executivelevel,Vollzeit,10.0,Aktiv,14,0,0.001463391
2024,12,37742,Jonathan Lawrence,Weiblich,2010-01-18,Kein Austritt,Bürokraft,Doktorrand,47,1977-01-18,E5,Ja,1,Nein,20,Ja,Ja,1,17,0,keine,5,Büro,0.55,2698,0,Keine Veränderung,42745.155554624194,8,10,Nein,Seniorlevel,Vollzeit,10.0,Aktiv,14,0,0.0014017874
2024,12,91057,Maria Parker,Männlich,2010-01-20,Kein Austritt,Bürokraft,Bachelorabschluss,44,1980-08-11,E5,Ja,1,Nein,23,Ja,Ja,2,12,0,Sabbatical,5,Büro,0.4,0,0,Keine Veränderung,45049.82788181492,5,16,Nein,Seniorlevel,Homeoffice,5.674133733958408,Aktiv,14,0,0.0013897902
2024,12,48288,Gregory Russell,Männlich,2017-10-03,Kein Austritt,Leitung Büro,Doktorrand,55,1969-12-01,E8,Ja,1,Nein,12,Ja,Ja,1,30,0,Elternzeit,5,Büro,0.03,0,0,5,80458.7996430169,3,13,Ja,4,Teilzeit,9.339085874809218,Aktiv,7,0,0.0013500716
2024,12,73654,Susan Davis,Weiblich,2010-01-04,Kein Austritt,Bürokraft,Bachelorabschluss,42,1982-08-22,E5,Ja,2,Nein,25,Nein,Ja,0,17,0,keine,1,Büro,0.4,2622,0,Beförderung,44744.00269817487,5,19,Ja,Seniorlevel,Vollzeit,10.0,Aktiv,14,0,0.0013416866
