Jahr,Monat,Mitarbeiter_ID,Name,Geschlecht,Einstellungsdatum,Austrittsdatum,Position,Education Level,Alter,Geburtsdatum,Gehaltsgruppe,Grundausbildung,Interne Weiterbildungen,Planstelle,Zeit bis zur Rente,Verheiratet,Kinder,Urlaubstage_genommen,Überstunden,Fehlzeiten_Krankheitstage,Abwesenheitsgrund,Jährliche Leistungsbewertung,Standort,Wechselbereitschaft,Fortbildungskosten,Anzahl Untergebene,Job Role Progression,Gehalt,Workplace Flexibility,Team Size,Coaching,Job Level,Arbeitszeitmodell,Zufriedenheit,Status,Tenure,Fluktuation,Fluktuationswahrscheinlichkeit
2024,12,60360,Walter Howard,Männlich,2021-02-07,Kein Austritt,Abteilungsleiter,Doktorrand,37,1987-04-21,E12,Ja,1,Ja,30,Ja,Ja,0,33,14,Krankheit,4,Landeszentrale,0.7,2293,2,4,94106.35165879484,5,10,Nein,3,Teilzeit,5.207014404424047,Aktiv,3,0,3.48173e-07
2024,12,96030,Stephen Martinez,Männlich,2021-02-13,Kein Austritt,Unterabteilungsleiter,Doktorrand,58,1966-03-20,E10,Ja,4,Nein,9,Ja,Ja,0,32,16,Krankheit,3,Büro,0.45,0,3,8,96636.4446597722,6,11,Ja,3,Homeoffice,6.309813708423386,Aktiv,3,0,2.0215557e-12
2024,12,65193,Ruth Brown,Weiblich,2017-07-14,Kein Austritt,Unterabteilungsleiter,Bachelorabschluss,40,1984-11-18,E10,Ja,1,Ja,27,Ja,Ja,1,44,0,Sabbatical,3,Büro,0.79,0,3,10,83614.94032102647,3,24,Ja,2,Vollzeit,7.229097248267564,Aktiv,7,0,4.932698e-13
2024,12,84330,Elizabeth Anderson,Weiblich,2023-03-17,Kein Austritt,Leitung Büro,Bachelorabschluss,43,1981-01-09,E8,Ja,3,Ja,24,Ja,Ja,0,21,11,Krankheit,5,Büro,0.62,0,0,0,91996.0881107012,9,11,Nein,3,Vollzeit,6.627023480294087,Aktiv,1,0,4.82859e-13
2024,12,68944,Michelle Harris,Weiblich,2016-10-04,Kein Austritt,Fachkraft,Masterabschluss,51,1973-02-10,E6,Ja,3,Ja,16,Ja,Ja,0,30,10,Krankheit,4,Büro,0.9,2414,0,4,46996.91492744636,9,12,Ja,3,Vollzeit,5.636601692693922,Aktiv,8,0,1.6029105e-13
2024,12,23253,Edward Tucker,Männlich,2019-08-07,Kein Austritt,Bürokraft,Berufsausbildung,57,1967-02-06,E5,Ja,3,Ja,10,Ja,Ja,2,20,0,Elternzeit,1,Bund,0.87,0,0,3,40575.99424199089,5,5,Nein,3,Teilzeit,5.106931535888021,Aktiv,5,0,1.5203344e-13
2024,12,20971,Cindy Tucker,Weiblich,2022-03-25,Kein Austritt,Leitung Landeszentrale,Bachelorabschluss,37,1987-09-18,E10,Ja,2,Ja,30,Nein,Ja,0,27,19,Krankheit,5,Landeszentrale,0.03,0,1,5,75884.68535413148,6,8,Nein,1,Vollzeit,4.739890520645481,Aktiv,2,0,6.085906e-16
2024,12,23527,Alexandria Cox,Männlich,2021-11-03,Kein Austritt,Leitung Landeszentrale,Bachelorabschluss,48,1976-11-20,E10,Ja,2,Nein,19,Ja,Ja,2,28,0,Elternzeit,4,Büro,0.63,4218,1,1,95811.28309994284,7,25,Nein,1,Vollzeit,7.25751479087039,Aktiv,3,0,1.7790964e-16
2024,12,98829,Tina Jennings,Weiblich,2023-07-11,Kein Austritt,Leitung Landeszentrale,Bachelorabschluss,46,1978-05-06,E10,Ja,0,Ja,21,Ja,Ja,1,24,11,Krankheit,5,Büro,0.41,4550,1,10,86379.85980092423,8,13,Ja,3,Homeoffice,6.613165094606415,Aktiv,1,0,1.06229406e-16
2024,12,88718,Cole Andersen,Weiblich,2011-10-21,Kein Austritt,Fachkraft,Masterabschluss,51,1973-04-16,E6,Ja,4,Ja,16,Nein,Ja,2,20,0,Elternzeit,2,Büro,0.95,4600,0,10,44088.48885118536,5,5,Nein,2,Vollzeit,5.378925662220636,Aktiv,13,0,8.11289e-17
2024,12,48978,Ryan Thomas,Männlich,2019-08-19,Kein Austritt,Bürokraft,Berufsausbildung,39,1985-03-12,E5,Ja,1,Ja,28,Nein,Ja,1,6,0,Erkrankung mit Reha,5,Büro,0.03,0,0,2,61671.49001696532,2,12,Nein,3,Teilzeit,4.174470922044373,Aktiv,5,0,3.71397e-17
2024,12,25012,Rebecca Jackson,Weiblich,2010-01-24,Kein Austritt,Fachkraft,Berufsausbildung,53,1971-11-05,E6,Ja,3,Ja,14,Nein,Ja,1,21,0,Elternzeit,5,Büro,0.92,0,0,Keine Veränderung,62295.719439571185,5,18,Ja,Executivelevel,Teilzeit,5.060694917380883,Aktiv,14,0,2.716162e-17
2024,12,66011,William Hansen,Weiblich,2024-05-12,Kein Austritt,Fachkraft,Bachelorabschluss,39,1985-03-19,E6,Ja,5,Nein,28,Ja,Ja,1,17,10,Krankheit,3,Landeszentrale,0.96,1721,0,3,60848.612273558414,9,16,Nein,2,Homeoffice,5.552786012235754,Aktiv,0,0,1.2735933e-17
2024,12,76832,David Gutierrez,Weiblich,2021-11-22,Kein Austritt,Leitung Büro,Masterabschluss,52,1972-04-05,E8,Ja,0,Nein,15,Ja,Ja,2,21,0,Elternzeit,3,Büro,0.92,4325,0,10,66110.87873275924,4,11,Ja,3,Vollzeit,7.185563526686629,Aktiv,3,0,1.0066769e-17
2024,12,39460,Victoria Carpenter,Männlich,2023-07-16,Kein Austritt,Leitung Büro,Bachelorabschluss,50,1974-04-07,E8,Ja,0,Ja,17,Nein,Ja,2,23,0,Sabbatical,1,Büro,0.04,3035,0,6,79218.89297061306,8,6,Ja,1,Teilzeit,5.957456072316802,Aktiv,1,0,1.142826e-18
