Jahr,Monat,Mitarbeiter_ID,Name,Geschlecht,Einstellungsdatum,Austrittsdatum,Position,Education Level,Alter,Geburtsdatum,Gehaltsgruppe,Grundausbildung,Interne Weiterbildungen,Planstelle,Zeit bis zur Rente,Verheiratet,Kinder,Urlaubstage_genommen,Überstunden,Fehlzeiten_Krankheitstage,Abwesenheitsgrund,Jährliche Leistungsbewertung,Standort,Wechselbereitschaft,Fortbildungskosten,Anzahl Untergebene,Job Role Progression,Gehalt,Workplace Flexibility,Team Size,Coaching,Job Level,Arbeitszeitmodell,Zufriedenheit,Status,Tenure,Fluktuation,Fluktuationswahrscheinlichkeit
2024,12,66764,Vincent Zuniga,Weiblich,2024-11-01,Kein Austritt,Abteilungsleiter,Doktorrand,56,1967-12-08,E12,Ja,2,Nein,11,Ja,Ja,1,35,0,Erkrankung mit Reha,3,Landeszentrale,0.37,0,2,9,84342.02859022892,10,10,Ja,2,Vollzeit,2.119370105211262,Aktiv,0,0,99.99989681033966
2024,12,20810,Kelly Johnston,Weiblich,2024-11-01,Kein Austritt,Unterabteilungsleiter,Berufsausbildung,45,1979-08-28,E10,Ja,0,Nein,22,Nein,Ja,2,38,0,Erkrankung mit Reha,1,Büro,0.19,607,3,2,63162.75591293271,7,5,Ja,4,Teilzeit,1.0,Aktiv,0,0,99.99977931770178
2024,12,20230,Frank Lawson,Männlich,2024-11-01,Kein Austritt,Leitung Landeszentrale,Masterabschluss,36,1987-12-13,E10,Ja,2,Nein,31,Ja,Ja,1,31,0,Erkrankung mit Reha,1,Büro,0.73,0,1,3,84010.97544669811,8,18,Ja,1,Homeoffice,1.0,Aktiv,0,0,99.99502133061088
2024,12,41499,Joel Williams,Männlich,2010-01-01,Kein Austritt,Fachkraft,Berufsausbildung,47,1976-12-05,E6,Ja,1,Nein,20,Ja,Ja,2,16,0,keine,2,Landeszentrale,0.54,194,0,Keine Veränderung,63078.62703639599,5,22,Nein,Mittellevel,Teilzeit,5.367534037694434,Aktiv,14,0,33.399514044407184
2024,12,98358,Kevin Moss,Männlich,2022-11-01,Kein Austritt,Bürokraft,Bachelorabschluss,39,1985-02-15,E5,Ja,3,Ja,28,Nein,Ja,2,8,0,keine,5,Landeszentrale,0.83,3057,0,4,65467.03870602613,4,17,Nein,2,Vollzeit,4.688734037694434,Aktiv,2,0,30.49449927010574
2024,12,63271,Robert Richardson,Männlich,2010-10-19,Kein Austritt,Bürokraft,Berufsausbildung,39,1985-10-25,E5,Ja,4,Ja,28,Ja,Ja,0,17,0,keine,3,Büro,0.09,4083,0,Seitlicher Wechsel,47918.56860626959,4,12,Nein,Mittellevel,Vollzeit,5.137133733958408,Aktiv,14,0,26.395872272450667
2024,12,37394,Kristen Larson,Weiblich,2022-06-01,Kein Austritt,Leitung Büro,Masterabschluss,46,1978-11-24,E8,Ja,5,Ja,21,Ja,Ja,2,15,20,Krankheit,1,Büro,0.43,0,0,9,72568.41013589573,9,23,Nein,1,Homeoffice,4.504915094606415,Aktiv,2,0,22.790559118462085
2024,12,21359,Shelly Alexander,Männlich,2010-01-01,Kein Austritt,Bürokraft,Bachelorabschluss,52,1972-03-04,E5,Ja,4,Nein,15,Nein,Ja,0,16,0,Elternzeit,1,Büro,0.53,4853,0,Keine Veränderung,54556.91096409707,7,11,Nein,Mittellevel,Homeoffice,5.1714890228966475,Aktiv,14,0,8.819867695877395
2024,12,89887,Kim Erickson,Männlich,2010-01-01,Kein Austritt,Bürokraft,Berufsausbildung,43,1980-12-14,E5,Ja,5,Nein,24,Nein,Ja,1,15,11,Krankheit,3,Büro,0.5,0,0,Keine Veränderung,51542.225464353985,5,17,Ja,Mittellevel,Vollzeit,5.415331535888022,Aktiv,14,0,5.865901165197665
2024,12,87356,George Harper,Weiblich,2010-01-01,Kein Austritt,Bürokraft,Masterabschluss,59,1965-08-18,E5,Ja,5,Nein,8,Nein,Ja,1,4,0,Elternzeit,5,Büro,0.23,0,0,Beförderung,39974.78285631671,6,15,Nein,Mittellevel,Teilzeit,5.1633315358880205,Aktiv,14,0,4.810238120653077
