Jahr,Monat,Mitarbeiter_ID,Name,Geschlecht,Einstellungsdatum,Austrittsdatum,Position,Education Level,Alter,Geburtsdatum,Gehaltsgruppe,Grundausbildung,Interne Weiterbildungen,Planstelle,Zeit bis zur Rente,Verheiratet,Kinder,Urlaubstage_genommen,Überstunden,Fehlzeiten_Krankheitstage,Abwesenheitsgrund,Jährliche Leistungsbewertung,Standort,Wechselbereitschaft,Fortbildungskosten,Anzahl Untergebene,Job Role Progression,Gehalt,Workplace Flexibility,Team Size,Coaching,Job Level,Arbeitszeitmodell,Zufriedenheit,Status,Tenure,Fluktuation,Fluktuationswahrscheinlichkeit
2024,12,20230,Frank Lawson,Männlich,2024-11-01,Kein Austritt,Leitung Landeszentrale,Masterabschluss,36,1987-12-13,E10,Ja,2,Nein,31,Ja,Ja,1,31,0,Erkrankung mit Reha,1,Büro,0.73,0,1,3,84010.97544669811,8,18,Ja,1,Homeoffice,1.0,Aktiv,0,0,99.16104
2024,12,20810,Kelly Johnston,Weiblich,2024-11-01,Kein Austritt,Unterabteilungsleiter,Berufsausbildung,45,1979-08-28,E10,Ja,0,Nein,22,Nein,Ja,2,38,0,Erkrankung mit Reha,1,Büro,0.19,607,3,2,63162.75591293271,7,5,Ja,4,Teilzeit,1.0,Aktiv,0,0,96.11086
2024,12,66764,Vincent Zuniga,Weiblich,2024-11-01,Kein Austritt,Abteilungsleiter,Doktorrand,56,1967-12-08,E12,Ja,2,Nein,11,Ja,Ja,1,35,0,Erkrankung mit Reha,3,Landeszentrale,0.37,0,2,9,84342.02859022892,10,10,Ja,2,Vollzeit,2.119370105211262,Aktiv,0,0,1.527279e-05
2024,12,37394,Kristen Larson,Weiblich,2022-06-01,Kein Austritt,Leitung Büro,Masterabschluss,46,1978-11-24,E8,Ja,5,Ja,21,Ja,Ja,2,15,20,Krankheit,1,Büro,0.43,0,0,9,72568.41013589573,9,23,Nein,1,Homeoffice,4.504915094606415,Aktiv,2,0,2.1733622e-06
2024,12,70222,Andrea Brown,Weiblich,2022-11-01,Kein Austritt,Abteilungsleiter,Bachelorabschluss,53,1971-04-27,E12,Ja,3,Nein,14,Ja,Ja,2,32,0,Erkrankung mit Reha,4,Büro,0.78,3240,2,3,98340.42722381542,7,20,Nein,4,Homeoffice,4.264313869129479,Aktiv,2,0,1.2508922e-07
2024,12,47156,Carolyn Kane,Männlich,2022-11-01,Kein Austritt,Leitung Landeszentrale,Bachelorabschluss,45,1979-03-11,E10,Ja,3,Nein,22,Nein,Ja,1,27,14,Krankheit,3,Landeszentrale,0.05,3076,1,0,107157.68080705169,0,10,Nein,4,Teilzeit,5.138857632202393,Aktiv,2,0,3.4247154e-09
2024,12,29293,Lori Davis,Weiblich,2020-04-01,Kein Austritt,Unterabteilungsleiter,Masterabschluss,51,1972-12-12,E10,Ja,3,Ja,16,Nein,Ja,1,45,0,Elternzeit,4,Büro,0.66,0,3,10,105129.18613647018,1,12,Nein,4,Teilzeit,6.804994072303716,Aktiv,4,0,2.556474e-13
2024,12,85029,Richard Beasley,Weiblich,2023-12-01,Kein Austritt,Leitung Büro,Masterabschluss,45,1978-12-24,E8,Ja,5,Ja,22,Nein,Ja,0,25,15,Krankheit,4,Büro,0.12,700,0,5,81612.64712728177,5,21,Ja,4,Vollzeit,5.688491236978322,Aktiv,1,0,2.4161497e-13
2024,12,29232,Traci Wilson,Weiblich,2018-05-01,Kein Austritt,Unterabteilungsleiter,Masterabschluss,47,1977-08-10,E10,Ja,2,Ja,20,Ja,Ja,0,32,0,Elternzeit,2,Büro,0.3,0,3,0,71789.7632274311,2,24,Ja,4,Teilzeit,5.424789537683665,Aktiv,6,0,1.1787506e-14
2024,12,53427,Michael Taylor,Weiblich,2016-08-01,Kein Austritt,Leitung Büro,Berufsausbildung,42,1982-07-05,E8,Ja,3,Nein,25,Nein,Ja,1,23,0,Sabbatical,5,Bund,0.67,2080,0,10,103776.2082756057,3,22,Nein,4,Homeoffice,7.5282419330959005,Aktiv,8,0,7.308619e-16
