Jahr,Monat,Mitarbeiter_ID,Name,Geschlecht,Einstellungsdatum,Austrittsdatum,Position,Education Level,Alter,Geburtsdatum,Gehaltsgruppe,Grundausbildung,Interne Weiterbildungen,Planstelle,Zeit bis zur Rente,Verheiratet,Kinder,Urlaubstage_genommen,Überstunden,Fehlzeiten_Krankheitstage,Abwesenheitsgrund,Jährliche Leistungsbewertung,Standort,Wechselbereitschaft,Fortbildungskosten,Anzahl Untergebene,Job Role Progression,Gehalt,Workplace Flexibility,Team Size,Coaching,Job Level,Arbeitszeitmodell,Zufriedenheit,Status,Tenure,Fluktuation,Fluktuationswahrscheinlichkeit
2024,12,20810,Kelly Johnston,Weiblich,2024-11-01,Kein Austritt,Unterabteilungsleiter,Berufsausbildung,45,1979-08-28,E10,Ja,0,Nein,22,Nein,Ja,2,38,0,Erkrankung mit Reha,1,Büro,0.19,607,3,2,63162.75591293271,7,5,Ja,4,Teilzeit,1.0,Aktiv,0,0,21.0
2024,12,20230,Frank Lawson,Männlich,2024-11-01,Kein Austritt,Leitung Landeszentrale,Masterabschluss,36,1987-12-13,E10,Ja,2,Nein,31,Ja,Ja,1,31,0,Erkrankung mit Reha,1,Büro,0.73,0,1,3,84010.97544669811,8,18,Ja,1,Homeoffice,1.0,Aktiv,0,0,10.0
2024,12,66764,Vincent Zuniga,Weiblich,2024-11-01,Kein Austritt,Abteilungsleiter,Doktorrand,56,1967-12-08,E12,Ja,2,Nein,11,Ja,Ja,1,35,0,Erkrankung mit Reha,3,Landeszentrale,0.37,0,2,9,84342.02859022892,10,10,Ja,2,Vollzeit,2.119370105211262,Aktiv,0,0,7.000000000000001
2024,12,41993,Kimberly Sanchez,Männlich,2024-11-01,Kein Austritt,Unterabteilungsleiter,Doktorrand,39,1985-04-22,E10,Ja,5,Nein,28,Nein,Ja,0,34,0,Elternzeit,1,Büro,0.51,0,3,9,115226.88945639395,1,11,Ja,3,Vollzeit,10.0,Aktiv,0,0,3.0
2024,12,98358,Kevin Moss,Männlich,2022-11-01,Kein Austritt,Bürokraft,Bachelorabschluss,39,1985-02-15,E5,Ja,3,Ja,28,Nein,Ja,2,8,0,keine,5,Landeszentrale,0.83,3057,0,4,65467.03870602613,4,17,Nein,2,Vollzeit,4.688734037694434,Aktiv,2,0,2.0
2024,12,83638,Veronica Diaz,Weiblich,2018-01-01,Kein Austritt,Leitung Büro,Doktorrand,48,1976-04-26,E8,Ja,0,Ja,19,Ja,Ja,0,19,0,keine,1,Landeszentrale,0.83,0,0,7,93903.22481091466,4,23,Nein,4,Homeoffice,8.638889219552334,Aktiv,6,0,1.0
2024,12,57824,Samantha Walker,Männlich,2019-08-01,Kein Austritt,Bürokraft,Bachelorabschluss,41,1983-10-22,E5,Ja,3,Nein,26,Nein,Ja,2,9,0,keine,3,Landeszentrale,0.5,0,0,2,41207.399144997136,8,10,Ja,1,Homeoffice,10.0,Aktiv,5,0,1.0
2024,12,21412,Brandon Brown,Männlich,2020-04-01,Kein Austritt,Leitung Büro,Doktorrand,52,1972-08-10,E8,Ja,3,Ja,15,Nein,Ja,1,29,0,Elternzeit,2,Büro,0.26,0,0,1,115393.71572719752,1,17,Nein,3,Homeoffice,10.0,Aktiv,4,0,1.0
2024,12,85187,Mary Hoffman,Weiblich,2021-12-01,Kein Austritt,Abteilungsleiter,Masterabschluss,46,1978-03-24,E12,Ja,5,Nein,21,Ja,Ja,1,43,0,Elternzeit,4,Büro,0.74,2168,2,10,92117.06383215952,0,19,Nein,2,Homeoffice,10.0,Aktiv,3,0,1.0
2024,12,85250,Cody Conley,Männlich,2023-12-01,Kein Austritt,Bürokraft,Berufsausbildung,34,1990-03-04,E5,Ja,5,Ja,33,Ja,Ja,1,19,8,Krankheit,3,Büro,0.67,0,0,7,53614.12916069951,2,22,Nein,1,Teilzeit,5.327033200812188,Aktiv,1,0,1.0
2024,12,77782,Zachary Yu,Männlich,2024-08-01,Kein Austritt,Leitung Büro,Masterabschluss,38,1986-03-04,E8,Ja,3,Nein,29,Ja,Ja,2,23,7,Krankheit,4,Landeszentrale,0.62,2071,0,10,94711.43185142282,4,5,Ja,3,Vollzeit,8.05965629533683,Aktiv,0,0,1.0
2024,12,31686,Andrew Powell,Männlich,2024-08-01,Kein Austritt,Unterabteilungsleiter,Masterabschluss,48,1976-04-07,E10,Ja,0,Ja,19,Nein,Ja,1,40,7,Krankheit,5,Büro,0.57,0,3,10,94250.20822650274,3,8,Nein,3,Vollzeit,8.481775485793571,Aktiv,0,0,1.0
2024,12,50684,Kevin Anderson,Weiblich,2024-08-01,Kein Austritt,Fachkraft,Masterabschluss,29,1994-12-02,E6,Ja,2,Ja,38,Ja,Ja,0,14,0,keine,3,Landeszentrale,0.61,450,0,5,66049.74420189748,8,11,Nein,3,Teilzeit,8.56607298265407,Aktiv,0,0,1.0
2024,12,50279,Stacy Stein,Weiblich,2024-08-01,Kein Austritt,Leitung Büro,Berufsausbildung,38,1986-09-16,E8,Ja,5,Ja,29,Ja,Ja,0,30,0,keine,3,Landeszentrale,0.73,3680,0,8,79229.81812073005,7,14,Ja,4,Homeoffice,10.0,Aktiv,0,0,1.0
2024,12,72796,Anthony Scott,Weiblich,2024-08-01,Kein Austritt,Fachkraft,Doktorrand,42,1982-07-08,E6,Ja,0,Nein,25,Ja,Ja,1,26,1,Krankheit,1,Landeszentrale,0.04,0,0,5,55037.0055840616,1,11,Nein,1,Teilzeit,7.443038199308312,Aktiv,0,0,1.0
