Jahr,Monat,Mitarbeiter_ID,Name,Geschlecht,Einstellungsdatum,Austrittsdatum,Position,Education Level,Alter,Geburtsdatum,Gehaltsgruppe,Grundausbildung,Interne Weiterbildungen,Planstelle,Zeit bis zur Rente,Verheiratet,Kinder,Urlaubstage_genommen,Überstunden,Fehlzeiten_Krankheitstage,Abwesenheitsgrund,Jährliche Leistungsbewertung,Standort,Wechselbereitschaft,Fortbildungskosten,Anzahl Untergebene,Job Role Progression,Gehalt,Workplace Flexibility,Team Size,Coaching,Job Level,Arbeitszeitmodell,Zufriedenheit,Status,Tenure,Fluktuation,Fluktuationswahrscheinlichkeit
2024,12,20810,Kelly Johnston,Weiblich,2024-11-01,Kein Austritt,Unterabteilungsleiter,Berufsausbildung,45,1979-08-28,E10,Ja,0,Nein,22,Nein,Ja,2,38,0,Erkrankung mit Reha,1,Büro,0.19,607,3,2,63162.75591293271,7,5,Ja,4,Teilzeit,1.0,Aktiv,0,0,43.55819559983092
2024,12,20230,Frank Lawson,Männlich,2024-11-01,Kein Austritt,Leitung Landeszentrale,Masterabschluss,36,1987-12-13,E10,Ja,2,Nein,31,Ja,Ja,1,31,0,Erkrankung mit Reha,1,Büro,0.73,0,1,3,84010.97544669811,8,18,Ja,1,Homeoffice,1.0,Aktiv,0,0,1.2278049793822254
2024,12,66764,Vincent Zuniga,Weiblich,2024-11-01,Kein Austritt,Abteilungsleiter,Doktorrand,56,1967-12-08,E12,Ja,2,Nein,11,Ja,Ja,1,35,0,Erkrankung mit Reha,3,Landeszentrale,0.37,0,2,9,84342.02859022892,10,10,Ja,2,Vollzeit,2.119370105211262,Aktiv,0,0,1.108138715457178
2024,12,98358,Kevin Moss,Männlich,2022-11-01,Kein Austritt,Bürokraft,Bachelorabschluss,39,1985-02-15,E5,Ja,3,Ja,28,Nein,Ja,2,8,0,keine,5,Landeszentrale,0.83,3057,0,4,65467.03870602613,4,17,Nein,2,Vollzeit,4.688734037694434,Aktiv,2,0,0.1720102059531147
2024,12,82917,Anthony Ward,Weiblich,2021-01-01,Kein Austritt,Abteilungsleiter,Berufsausbildung,48,1976-04-10,E12,Ja,0,Nein,19,Ja,Ja,0,35,0,keine,2,Büro,0.87,2154,2,6,106037.61926275966,0,25,Ja,1,Vollzeit,5.03068381654656,Aktiv,3,0,0.16838876011974935
2024,12,70222,Andrea Brown,Weiblich,2022-11-01,Kein Austritt,Abteilungsleiter,Bachelorabschluss,53,1971-04-27,E12,Ja,3,Nein,14,Ja,Ja,2,32,0,Erkrankung mit Reha,4,Büro,0.78,3240,2,3,98340.42722381542,7,20,Nein,4,Homeoffice,4.264313869129479,Aktiv,2,0,0.15097277014544286
2024,12,74438,Jeremy Wallace,Männlich,2021-01-01,Kein Austritt,Unterabteilungsleiter,Doktorrand,56,1968-02-20,E10,Ja,1,Nein,11,Ja,Ja,0,37,0,Erkrankung mit Reha,2,Büro,0.75,0,3,2,96341.7715153548,3,24,Ja,3,Vollzeit,4.996634072686606,Aktiv,3,0,0.038317750058288
2024,12,37394,Kristen Larson,Weiblich,2022-06-01,Kein Austritt,Leitung Büro,Masterabschluss,46,1978-11-24,E8,Ja,5,Ja,21,Ja,Ja,2,15,20,Krankheit,1,Büro,0.43,0,0,9,72568.41013589573,9,23,Nein,1,Homeoffice,4.504915094606415,Aktiv,2,0,0.029632140659501746
2024,12,63631,Henry Taylor,Männlich,2010-06-01,Kein Austritt,Bürokraft,Bachelorabschluss,42,1982-04-25,E5,Ja,3,Nein,25,Ja,Ja,2,15,0,keine,4,Büro,0.72,3389,0,6,49914.48564337217,0,11,Ja,4,Homeoffice,10.0,Aktiv,14,0,0.002190173102015426
2024,12,98460,Christopher Jones,Männlich,2010-05-01,Kein Austritt,Abteilungsleiter,Doktorrand,46,1977-12-14,E12,Ja,4,Nein,21,Ja,Ja,1,37,15,Krankheit,1,Büro,0.88,1390,2,3,106056.82600994906,7,20,Ja,3,Homeoffice,9.181649176411666,Aktiv,14,0,0.002190173102015426
2024,12,51594,Catherine Davis,Weiblich,2010-04-01,Kein Austritt,Leitung Büro,Masterabschluss,59,1965-04-27,E8,Ja,1,Ja,8,Nein,Ja,2,27,7,Krankheit,2,Büro,0.05,1048,0,10,61623.6075033263,1,12,Nein,1,Teilzeit,8.803644093792547,Aktiv,14,0,0.002190173102015426
2024,12,54069,Catherine Frazier,Weiblich,2010-04-01,Kein Austritt,Abteilungsleiter,Doktorrand,60,1964-07-03,E12,Ja,3,Ja,7,Ja,Ja,0,34,7,Krankheit,1,Büro,0.04,0,2,5,96232.04552672364,7,21,Nein,3,Teilzeit,10.0,Aktiv,14,0,0.002190173102015426
2024,12,47486,Brandon Kelly,Weiblich,2010-04-01,Kein Austritt,Bürokraft,Berufsausbildung,63,1961-05-05,E5,Ja,0,Nein,4,Ja,Ja,1,14,0,Elternzeit,5,Büro,0.81,0,0,6,57609.08938837341,6,23,Nein,4,Teilzeit,10.0,Aktiv,14,0,0.002190173102015426
