Year,Month,Employee_ID,Name,Gender,Hiring Date,Exit Date,Position,Education Level,Age,Birthdate,Salary Group,Basic Education,Internal Training,Planned Position,Time Until Retirement,Married,Children,Vacation Days Taken,Overtime,Absence Days,Absence Reason,Annual Performance Review,Location,Switching Readiness,Training Costs,Number of Subordinates,Job Role Progression,Salary,Workplace Flexibility,Team Size,Coaching,Job Level,Work Model,Satisfaction,Status,Tenure,Turnover,Churn Probability
2024,12,72304,Molly Mckenzie,Female,2020-01-01,No Exit,Specialist,Master Degree,47,1976-12-16,E6,Yes,1,No,20,No,Yes,0,16,0,Parental Leave,1,Headquarters,0.09,3381,0,7,52823.593491266016,10,19,Yes,1,Homeoffice,4.413567238506621,Active,4,0,100.0
2024,12,49097,Bradley Cobb,Female,2023-01-01,No Exit,Specialist,Bachelor Degree,32,1992-05-28,E6,Yes,4,Yes,35,No,Yes,2,19,0,Sabbatical,5,Office,0.59,0,0,8,42972.4698492168,1,11,Yes,2,Part-time,4.002872578492953,Active,1,0,100.0
2024,12,15117,Donald Mays,Male,2023-10-01,No Exit,Assistant Department Head,Bachelor Degree,40,1984-07-21,E10,Yes,4,No,27,No,Yes,0,39,0,Parental Leave,1,Headquarters,0.02,0,3,4,61712.41076671822,1,15,No,2,Full-time,5.484830753777397,Active,1,0,100.0
2024,12,28040,Leah Owens,Female,2023-10-01,No Exit,Office Clerk,Bachelor Degree,32,1992-01-25,E5,Yes,3,No,35,No,Yes,2,12,0,Illness with rehab,3,Headquarters,0.46,4104,0,7,108291.3884499411,0,12,No,4,Part-time,3.215746952517657,Active,1,0,100.0
2024,12,94976,Jason Smith,Female,2024-05-01,No Exit,Headquarters Manager,Vocational Training,49,1975-10-14,E10,Yes,3,No,18,No,Yes,0,35,16,Illness,1,Headquarters,0.91,0,1,0,87465.59190057588,2,5,No,2,Full-time,5.309662543724812,Active,0,0,100.0
2024,12,54132,Christopher Harrison,Female,2024-05-01,No Exit,Headquarters Manager,Vocational Training,64,1960-01-20,E10,Yes,1,No,3,No,Yes,1,30,0,Illness with rehab,1,Office,0.96,4522,1,6,109910.04735144234,10,21,Yes,2,Homeoffice,1.0,Active,0,0,100.0
2024,12,22473,Manuel Smith,Male,2024-11-01,No Exit,Department Head,Master Degree,51,1973-05-01,E12,Yes,4,Yes,16,No,Yes,0,35,0,Illness with rehab,5,Headquarters,0.7,2210,2,4,86472.94285199202,5,13,Yes,2,Full-time,4.35680504109812,Active,0,0,100.0
2024,12,24104,Theresa Sandoval,Female,2024-11-01,No Exit,Office Manager,Bachelor Degree,62,1962-08-27,E8,Yes,2,Yes,5,No,No,1,26,0,Illness with rehab,2,Office,0.5,0,0,8,79368.59016830739,4,16,No,3,Part-time,1.0,Active,0,0,100.0
2024,12,51649,Kimberly Lewis,Male,2024-11-01,No Exit,Assistant Department Head,Bachelor Degree,39,1985-01-11,E10,Yes,2,No,28,Yes,Yes,1,43,20,Illness,5,Office,0.43,1962,3,6,84462.99004251242,3,14,Yes,4,Homeoffice,4.582441730880749,Active,0,0,100.0
2024,12,19148,Cody Hendricks,Female,2024-11-01,No Exit,Specialist,Doctoral Candidate,51,1973-05-12,E6,Yes,2,Yes,16,Yes,Yes,0,14,13,Illness,3,Federal,0.94,0,0,0,68086.76381699552,4,7,Yes,4,Part-time,4.4365956032646,Active,0,0,100.0
2024,12,91853,Jennifer Johnson DVM,Male,2024-11-01,No Exit,Specialist,Master Degree,58,1966-11-17,E6,No,0,No,9,Yes,No,0,24,0,Illness with rehab,2,Office,0.78,0,0,5,57607.82167533444,5,5,Yes,1,Homeoffice,3.2251875652027673,Active,0,0,100.0
2024,12,17399,James Gallagher,Female,2021-06-01,No Exit,Headquarters Manager,Master Degree,41,1982-12-10,E10,Yes,3,No,26,No,Yes,0,31,17,Illness,5,Office,0.4,4700,1,7,104068.20817406314,1,15,Yes,1,Full-time,5.140888199308312,Active,3,0,5.3778733e-09
2024,12,13540,Thomas Johnson,Female,2024-05-10,No Exit,Office Clerk,Vocational Training,25,1999-05-17,E5,Yes,2,No,42,Yes,Yes,1,17,0,,4,Headquarters,0.65,2209,0,3,86588.67359814967,2,13,No,2,Full-time,5.020285426652333,Active,0,0,1.301403e-28
