Year,Month,Employee_ID,Name,Gender,Hiring Date,Exit Date,Position,Education Level,Age,Birthdate,Salary Group,Basic Education,Internal Training,Planned Position,Time Until Retirement,Married,Children,Vacation Days Taken,Overtime,Absence Days,Absence Reason,Annual Performance Review,Location,Switching Readiness,Training Costs,Number of Subordinates,Job Role Progression,Salary,Workplace Flexibility,Team Size,Coaching,Job Level,Work Model,Satisfaction,Status,Tenure,Turnover,Churn Probability
2024,12,51649,Kimberly Lewis,Male,2024-11-01,No Exit,Assistant Department Head,Bachelor Degree,39,1985-01-11,E10,Yes,2,No,28,Yes,Yes,1,43,20,Illness,5,Office,0.43,1962,3,6,84462.99004251242,3,14,Yes,4,Homeoffice,4.582441730880749,Active,0,0,8.0
2024,12,22473,Manuel Smith,Male,2024-11-01,No Exit,Department Head,Master Degree,51,1973-05-01,E12,Yes,4,Yes,16,No,Yes,0,35,0,Illness with rehab,5,Headquarters,0.7,2210,2,4,86472.94285199202,5,13,Yes,2,Full-time,4.35680504109812,Active,0,0,7.000000000000001
2024,12,24104,Theresa Sandoval,Female,2024-11-01,No Exit,Office Manager,Bachelor Degree,62,1962-08-27,E8,Yes,2,Yes,5,No,No,1,26,0,Illness with rehab,2,Office,0.5,0,0,8,79368.59016830739,4,16,No,3,Part-time,1.0,Active,0,0,6.0
2024,12,91853,Jennifer Johnson DVM,Male,2024-11-01,No Exit,Specialist,Master Degree,58,1966-11-17,E6,No,0,No,9,Yes,No,0,24,0,Illness with rehab,2,Office,0.78,0,0,5,57607.82167533444,5,5,Yes,1,Homeoffice,3.2251875652027673,Active,0,0,6.0
2024,12,28040,Leah Owens,Female,2023-10-01,No Exit,Office Clerk,Bachelor Degree,32,1992-01-25,E5,Yes,3,No,35,No,Yes,2,12,0,Illness with rehab,3,Headquarters,0.46,4104,0,7,108291.3884499411,0,12,No,4,Part-time,3.215746952517657,Active,1,0,5.0
2024,12,54132,Christopher Harrison,Female,2024-05-01,No Exit,Headquarters Manager,Vocational Training,64,1960-01-20,E10,Yes,1,No,3,No,Yes,1,30,0,Illness with rehab,1,Office,0.96,4522,1,6,109910.04735144234,10,21,Yes,2,Homeoffice,1.0,Active,0,0,4.0
2024,12,74722,Lauren Carson,Male,2010-03-20,No Exit,Office Clerk,Bachelor Degree,39,1985-03-26,E5,Yes,2,No,28,Yes,Yes,0,27,0,Parental Leave,5,Office,0.62,374,0,Promotion,90439.18330160688,1,18,No,Mid Level,Homeoffice,7.077133733958409,Active,14,0,2.0
2024,12,34620,Jamie Galloway,Female,2024-11-01,No Exit,Specialist,Vocational Training,57,1967-10-04,E6,No,4,Yes,10,No,Yes,2,16,0,Parental Leave,1,Headquarters,0.89,0,0,3,70113.61412883746,7,17,Yes,4,Homeoffice,9.39434496976795,Active,0,0,2.0
2024,12,98389,Zachary Hicks,Female,2010-01-01,No Exit,Specialist,Vocational Training,51,1973-02-01,E6,Yes,4,No,16,No,Yes,2,15,0,none,3,Office,0.54,3922,0,Lateral Move,54892.457385032314,2,15,Yes,Entry Level,Homeoffice,10.0,Active,14,0,1.0
2024,12,78762,Nicholas Carlson,Male,2010-04-01,No Exit,Assistant Department Head,Doctoral Candidate,60,1963-12-12,E10,Yes,5,Yes,7,Yes,Yes,2,39,0,Parental Leave,3,Office,0.83,0,3,10,68049.97009186634,3,23,Yes,3,Part-time,6.447943816699695,Active,14,0,1.0
2024,12,98606,Lisa Martin,Female,2015-03-01,No Exit,Department Head,Bachelor Degree,47,1977-10-21,E12,Yes,5,Yes,20,No,Yes,1,40,0,Parental Leave,4,Headquarters,0.18,0,2,9,103449.84785103145,5,13,Yes,1,Full-time,10.0,Active,9,0,1.0
2024,12,94976,Jason Smith,Female,2024-05-01,No Exit,Headquarters Manager,Vocational Training,49,1975-10-14,E10,Yes,3,No,18,No,Yes,0,35,16,Illness,1,Headquarters,0.91,0,1,0,87465.59190057588,2,5,No,2,Full-time,5.309662543724812,Active,0,0,1.0
2024,12,27132,Kelly Woods,Male,2024-05-01,No Exit,Specialist,Master Degree,64,1960-03-28,E6,Yes,1,Yes,3,Yes,Yes,0,18,0,Sabbatical,5,Office,0.22,884,0,1,46146.315192915776,2,25,Yes,2,Part-time,10.0,Active,0,0,1.0
2024,12,62536,Jose Mckinney,Female,2024-11-01,No Exit,Assistant Department Head,Bachelor Degree,37,1987-01-24,E10,Yes,1,No,30,No,No,1,37,2,Illness,5,Office,0.47,2386,3,7,121617.01967034076,4,24,Yes,1,Part-time,10.0,Active,0,0,1.0
2024,12,19148,Cody Hendricks,Female,2024-11-01,No Exit,Specialist,Doctoral Candidate,51,1973-05-12,E6,Yes,2,Yes,16,Yes,Yes,0,14,13,Illness,3,Federal,0.94,0,0,0,68086.76381699552,4,7,Yes,4,Part-time,4.4365956032646,Active,0,0,1.0
