Jahr,Monat,Mitarbeiter_ID,Name,Geschlecht,Einstellungsdatum,Austrittsdatum,Position,Education Level,Alter,Geburtsdatum,Gehaltsgruppe,Grundausbildung,Interne Weiterbildungen,Planstelle,Zeit bis zur Rente,Verheiratet,Kinder,Urlaubstage_genommen,Überstunden,Fehlzeiten_Krankheitstage,Abwesenheitsgrund,Jährliche Leistungsbewertung,Standort,Wechselbereitschaft,Fortbildungskosten,Anzahl Untergebene,Job Role Progression,Gehalt,Workplace Flexibility,Team Size,Coaching,Job Level,Arbeitszeitmodell,Zufriedenheit,Status,Tenure,Fluktuation,Fluktuationswahrscheinlichkeit
2024,12,20230,Frank Lawson,Männlich,2024-11-01,Kein Austritt,Leitung Landeszentrale,Masterabschluss,36,1987-12-13,E10,Ja,2,Nein,31,Ja,Ja,1,31,0,Erkrankung mit Reha,1,Büro,0.73,0,1,3,84010.97544669811,8,18,Ja,1,Homeoffice,1.0,Aktiv,0,0,5.5364294
2024,12,20810,Kelly Johnston,Weiblich,2024-11-01,Kein Austritt,Unterabteilungsleiter,Berufsausbildung,45,1979-08-28,E10,Ja,0,Nein,22,Nein,Ja,2,38,0,Erkrankung mit Reha,1,Büro,0.19,607,3,2,63162.75591293271,7,5,Ja,4,Teilzeit,1.0,Aktiv,0,0,1.1368513
2024,12,66764,Vincent Zuniga,Weiblich,2024-11-01,Kein Austritt,Abteilungsleiter,Doktorrand,56,1967-12-08,E12,Ja,2,Nein,11,Ja,Ja,1,35,0,Erkrankung mit Reha,3,Landeszentrale,0.37,0,2,9,84342.02859022892,10,10,Ja,2,Vollzeit,2.119370105211262,Aktiv,0,0,0.45066682
2024,12,98358,Kevin Moss,Männlich,2022-11-01,Kein Austritt,Bürokraft,Bachelorabschluss,39,1985-02-15,E5,Ja,3,Ja,28,Nein,Ja,2,8,0,keine,5,Landeszentrale,0.83,3057,0,4,65467.03870602613,4,17,Nein,2,Vollzeit,4.688734037694434,Aktiv,2,0,0.19893175
2024,12,37394,Kristen Larson,Weiblich,2022-06-01,Kein Austritt,Leitung Büro,Masterabschluss,46,1978-11-24,E8,Ja,5,Ja,21,Ja,Ja,2,15,20,Krankheit,1,Büro,0.43,0,0,9,72568.41013589573,9,23,Nein,1,Homeoffice,4.504915094606415,Aktiv,2,0,0.039515212
2024,12,70222,Andrea Brown,Weiblich,2022-11-01,Kein Austritt,Abteilungsleiter,Bachelorabschluss,53,1971-04-27,E12,Ja,3,Nein,14,Ja,Ja,2,32,0,Erkrankung mit Reha,4,Büro,0.78,3240,2,3,98340.42722381542,7,20,Nein,4,Homeoffice,4.264313869129479,Aktiv,2,0,0.019652978
2024,12,80592,Laura Roberts,Weiblich,2010-01-01,Kein Austritt,Bürokraft,Bachelorabschluss,44,1980-02-03,E5,Ja,2,Nein,23,Nein,Ja,0,9,0,keine,5,Büro,0.09,0,0,Seitlicher Wechsel,38409.59879809533,5,14,Nein,Mittellevel,Vollzeit,10.0,Aktiv,14,0,0.004809173
2024,12,74942,Paula Bradley,Weiblich,2010-01-01,Kein Austritt,Abteilungsleiter,Bachelorabschluss,47,1977-06-08,E12,Ja,1,Nein,20,Ja,Ja,2,26,2,Krankheit,2,Büro,0.36,4718,2,Beförderung,98718.36816580582,3,18,Nein,Executivelevel,Teilzeit,10.0,Aktiv,14,0,0.0040608826
2024,12,73904,Mark Perez,Männlich,2010-05-02,Kein Austritt,Bürokraft,Bachelorabschluss,39,1985-05-08,E5,Ja,3,Ja,28,Ja,Ja,0,5,0,Sabbatical,4,Büro,0.47,0,0,Keine Veränderung,55436.52259955594,9,21,Ja,Executivelevel,Vollzeit,6.816694917380883,Aktiv,14,0,0.0039821896
2024,12,67963,Victor Baker,Weiblich,2010-01-01,Kein Austritt,Bürokraft,Doktorrand,39,1984-12-25,E5,Ja,2,Ja,28,Nein,Ja,0,6,0,keine,5,Büro,0.79,0,0,Keine Veränderung,51059.961923335424,4,10,Nein,Mittellevel,Vollzeit,10.0,Aktiv,14,0,0.0036421982
2024,12,74038,Aaron Wise,Weiblich,2010-01-01,Kein Austritt,Bürokraft,Berufsausbildung,44,1980-10-22,E5,Ja,0,Nein,23,Ja,Ja,2,12,0,keine,1,Landeszentrale,0.7,3435,0,Keine Veränderung,65155.57659372581,5,10,Ja,Executivelevel,Teilzeit,10.0,Aktiv,14,0,0.0033866195
2024,12,80236,Julia Torres,Männlich,2010-01-01,Kein Austritt,Bürokraft,Doktorrand,49,1975-09-15,E5,Ja,2,Nein,18,Nein,Ja,2,4,0,keine,1,Bund,0.79,4236,0,Keine Veränderung,52071.52185729871,7,16,Ja,Einstiegslevel,Teilzeit,10.0,Aktiv,14,0,0.0032364682
2024,12,99582,Christopher Waters,Männlich,2016-03-01,Kein Austritt,Bürokraft,Masterabschluss,44,1980-09-19,E5,Ja,5,Nein,23,Nein,Ja,0,10,0,Elternzeit,1,Büro,0.3,0,0,1,51129.36638571555,7,25,Nein,1,Vollzeit,6.070164198471868,Aktiv,8,0,0.0030267322
2024,12,48175,Theresa Williams,Weiblich,2010-01-01,Kein Austritt,Bürokraft,Bachelorabschluss,53,1971-09-14,E5,Ja,3,Ja,14,Ja,Ja,1,4,0,keine,2,Landeszentrale,0.99,0,0,Keine Veränderung,45495.497731021605,7,21,Ja,Seniorlevel,Vollzeit,10.0,Aktiv,14,0,0.0028160587
2024,12,96900,Dr. William Warren,Männlich,2010-09-26,Kein Austritt,Bürokraft,Berufsausbildung,39,1985-10-02,E5,Ja,4,Nein,28,Ja,Ja,0,10,0,Elternzeit,2,Büro,0.05,4713,0,Seitlicher Wechsel,50983.19528193696,4,16,Nein,Einstiegslevel,Homeoffice,7.434793934419068,Aktiv,14,0,0.0027134614
